text,label,predicted_category,auto_corrected
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
truckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
airplanetelevision,nonmilitary,aircraft,aircraft
personweapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiremotorcyclepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carmotorcyclepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carmotorcyclepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
land vehiclepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
land vehiclepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
footwearhuman faceland vehiclemantrousers,weapons,nonmilitary,
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tirepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
paddle,maritime,nonmilitary,
paddle,maritime,nonmilitary,
boatperson,nonmilitary,maritime,maritime
boatperson,nonmilitary,maritime,maritime
paddle,maritime,nonmilitary,
boatperson,nonmilitary,maritime,maritime
boatperson,nonmilitary,maritime,maritime
paddle,maritime,nonmilitary,
boatperson,nonmilitary,maritime,maritime
paddle,maritime,nonmilitary,
boatperson,nonmilitary,maritime,maritime
boatperson,nonmilitary,maritime,maritime
boatperson,nonmilitary,maritime,maritime
boatperson,nonmilitary,maritime,maritime
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
ballooncar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
persontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
mantruckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
footwearmantenttruckwheel,weapons,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
carmotorcyclepersontraffic lighttruckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiremotorcyclepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
weapon,weapons,nonmilitary,
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
flagpersonweapon,weapons,nonmilitary,
flagpersonweapon,weapons,nonmilitary,
flagpersonweapon,weapons,nonmilitary,
flagpersonweapon,weapons,nonmilitary,
flagpersonweapon,weapons,nonmilitary,
flagpersonweapon,weapons,nonmilitary,
fancy dressfootwearmantruckwheelwoman,nonmilitary,ground_vehicles,ground_vehicles
car tirefootwearmantrouserstruckwoman,nonmilitary,ground_vehicles,ground_vehicles
footwearhuman facemantrouserstruckwoman,nonmilitary,ground_vehicles,ground_vehicles
airplanehuman facemanperson,nonmilitary,aircraft,aircraft
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
persontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
persontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
persontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
persontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
persontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
human facepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
human facepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
persontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
persontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
land vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
land vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
land vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
land vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
weapon,weapons,nonmilitary,
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
missilerocket,nonmilitary,weapons,weapons
missilerocket,nonmilitary,weapons,weapons
car tireland vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
helmethuman facepersonsunglasses,weapons,nonmilitary,
carfootwearmantrousersvehicle registration platewheel,weapons,nonmilitary,
carfootwearmantrousersvehicle registration platewheel,weapons,nonmilitary,
marine invertebrates,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
footwearpersonweapon,weapons,nonmilitary,
gloveweapon,weapons,nonmilitary,
footwearpersonweapon,weapons,nonmilitary,
weapon,weapons,nonmilitary,
glovepersonweapon,weapons,nonmilitary,
glovepersonweapon,weapons,nonmilitary,
footwearpersonweapon,weapons,nonmilitary,
footwearpersonweapon,weapons,nonmilitary,
doorpersonstairsweapon,weapons,nonmilitary,
footwearpersonstairsweapon,weapons,nonmilitary,
footwearpersonstairsweapon,weapons,nonmilitary,
footwearpersonstairsweapon,weapons,nonmilitary,
footwearpersonstairsweapon,weapons,nonmilitary,
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
laddertruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiremantruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
land vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
land vehiclepersonrifleweaponwheel,nonmilitary,weapons,weapons
land vehiclepersonriflewheel,nonmilitary,weapons,weapons
housetruckwheel,nonmilitary,ground_vehicles,ground_vehicles
housetruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tirehousetruckwheel,nonmilitary,ground_vehicles,ground_vehicles
housetruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tirehousetruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tirehousetruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
cartruck,nonmilitary,ground_vehicles,ground_vehicles
boatfootwearperson,nonmilitary,maritime,maritime
boatperson,nonmilitary,maritime,maritime
boatperson,nonmilitary,maritime,maritime
car tireland vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
boatfishfootwearperson,nonmilitary,maritime,maritime
boatfishfootwearperson,nonmilitary,maritime,maritime
boatfishfootwearperson,nonmilitary,maritime,maritime
boatfishfootwearperson,nonmilitary,maritime,maritime
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
land vehicletruck,nonmilitary,ground_vehicles,ground_vehicles
land vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
footwearland vehiclepersontruck,nonmilitary,ground_vehicles,ground_vehicles
footwearland vehiclepersontruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
truck,nonmilitary,ground_vehicles,ground_vehicles
mirrortruck,nonmilitary,ground_vehicles,ground_vehicles
mirrortruck,nonmilitary,ground_vehicles,ground_vehicles
mirrortaillighttruck,nonmilitary,ground_vehicles,ground_vehicles
carmirrortruck,nonmilitary,ground_vehicles,ground_vehicles
carmirrortruck,nonmilitary,ground_vehicles,ground_vehicles
carmirrortruck,nonmilitary,ground_vehicles,ground_vehicles
carmirrortaillighttruck,nonmilitary,ground_vehicles,ground_vehicles
carmirrortruck,nonmilitary,ground_vehicles,ground_vehicles
antennamirrorsconesuitcasetruck,nonmilitary,ground_vehicles,ground_vehicles
truck,nonmilitary,ground_vehicles,ground_vehicles
carpersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carsteering wheeltruck,nonmilitary,ground_vehicles,ground_vehicles
cartruck,nonmilitary,ground_vehicles,ground_vehicles
carrearview mirrorsteering wheeltaillighttruck,nonmilitary,ground_vehicles,ground_vehicles
carmirrorsconetaillighttruckwheel,nonmilitary,ground_vehicles,ground_vehicles
billboardcartruckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
billboardcartruckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
billboardcartruckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
billboardcartruckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
billboardcarcar tiretruckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tireland vehicleladdertruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tirefootwearhelmetmanmotorcycletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tirefootwearhelmetmotorcyclepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
marine invertebrateswheel,maritime,nonmilitary,
marine mammal,maritime,nonmilitary,
human facepersonweapon,weapons,nonmilitary,
buildingcar tirehousetruckwindow,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
marine invertebrates,maritime,nonmilitary,
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
human faceland vehiclepersontruckwheelwaste container,nonmilitary,ground_vehicles,ground_vehicles
airplanefootwearman,nonmilitary,aircraft,aircraft
carfootwearland vehiclepersontruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carland vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carland vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
personrifletripod,nonmilitary,weapons,weapons
personrifletripod,nonmilitary,weapons,weapons
personrifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
personrifletripod,nonmilitary,weapons,weapons
personrifletripod,nonmilitary,weapons,weapons
personrifletripod,nonmilitary,weapons,weapons
personrifletripod,nonmilitary,weapons,weapons
personrifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
personrifletripod,nonmilitary,weapons,weapons
personrifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
personrifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
rifletripod,nonmilitary,weapons,weapons
mansports uniform,maritime,nonmilitary,
mansports uniform,maritime,nonmilitary,
mansports uniform,maritime,nonmilitary,
weapon,weapons,nonmilitary,
weapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
weapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
weapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
footwearpersonweapon,weapons,nonmilitary,
personweapon,weapons,nonmilitary,
weapon,weapons,nonmilitary,
weapon,weapons,nonmilitary,
carcar tiretruckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tirestreet lighttruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carpickup truckstreet lightsuvtruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tirepickup truckstreet lightwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
airplaneland vehicle,nonmilitary,aircraft,aircraft
airplaneland vehicle,nonmilitary,aircraft,aircraft
footwearpersonrifletrousers,nonmilitary,weapons,weapons
footwearpersonrifletrousers,nonmilitary,weapons,weapons
footwearhuman facepersonweapon,weapons,nonmilitary,
boatperson,nonmilitary,maritime,maritime
boatperson,nonmilitary,maritime,maritime
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
human facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
glasseshuman facepersonweapon,weapons,nonmilitary,
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
hathuman facemanweapon,weapons,nonmilitary,
handgun,nonmilitary,weapons,weapons
handgun,nonmilitary,weapons,weapons
handgunland vehiclewheel,nonmilitary,weapons,weapons
handgun,nonmilitary,weapons,weapons
handgunperson,nonmilitary,weapons,weapons
handgun,nonmilitary,weapons,weapons
personweapon,weapons,nonmilitary,
handgun,nonmilitary,weapons,weapons
personweapon,weapons,nonmilitary,
footwearpersonrifletrousers,nonmilitary,weapons,weapons
personweapon,weapons,nonmilitary,
weapon,weapons,nonmilitary,
handgun,nonmilitary,weapons,weapons
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
billboardcar tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carmirrortruckwheel,nonmilitary,ground_vehicles,ground_vehicles
land vehiclemirrortruckwheel,nonmilitary,ground_vehicles,ground_vehicles
land vehiclemirrortruck,nonmilitary,ground_vehicles,ground_vehicles
mirrortruck,nonmilitary,ground_vehicles,ground_vehicles
truck,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
